name,id,code,shortName,description,formName,domainType,valueType,aggregationoperator,fieldMask,categoryCombo.id,class,cycle,Inverse
"[GC7/H-KRCS/HIV I-4/RESULT/IMPACT] # of AIDS-related deaths per 100,000 population",GEvuwuun5E0,GC7/H-KRCS/HIV I-4/RESULT/IMPACT,GC7/H-KRCS/HIV I-4/RESULT/IMPACT,"# of AIDS-related deaths per 100,000 population",NUMBER,AGGREGATE,NUMBER,,Inverse,bjDvmb4bfuf,Programmes PR,GC7,No
"[GC7/H-KRCS/HIV I-4/TARGET/IMPACT] # of AIDS-related deaths per 100,000 population",aqnck5zoQXi,GC7/H-KRCS/HIV I-4/TARGET/IMPACT,GC7/H-KRCS/HIV I-4/TARGET/IMPACT,"# of AIDS-related deaths per 100,000 population",NUMBER,AGGREGATE,NUMBER,,Inverse,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HIV I-6/COMMENT/IMPACT] Estimated % of children newly infected with HIV from MTCT among women living with HIV delivering in the past 12 months,DDd0Tsd9Iuw,GC7/H-KRCS/HIV I-6/COMMENT/IMPACT,GC7/H-KRCS/HIV I-6/COMMENT/IMPACT,Estimated % of children newly infected with HIV from MTCT among women living with HIV delivering in the past 12 months,LONG_TEXT,AGGREGATE,LONG_TEXT,,Inverse,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HIV I-6/RESULT/IMPACT] Estimated % of children newly infected with HIV from MTCT among women living with HIV delivering in the past 12 months,EfaXi5S7haT,GC7/H-KRCS/HIV I-6/RESULT/IMPACT,GC7/H-KRCS/HIV I-6/RESULT/IMPACT,Estimated % of children newly infected with HIV from MTCT among women living with HIV delivering in the past 12 months,NUMBER,AGGREGATE,PERCENTAGE,,Inverse,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HIV I-6/TARGET/IMPACT] Estimated % of children newly infected with HIV from MTCT among women living with HIV delivering in the past 12 months,afLjVULlKYU,GC7/H-KRCS/HIV I-6/TARGET/IMPACT,GC7/H-KRCS/HIV I-6/TARGET/IMPACT,Estimated % of children newly infected with HIV from MTCT among women living with HIV delivering in the past 12 months,NUMBER,AGGREGATE,PERCENTAGE,,Inverse,bjDvmb4bfuf,Programmes PR,GC7,No
"[GC7/H-KRCS/HIV O-10/COMMENT/OUTCOME] % of high risk AGYW (15-24) who say they used a condom the last time they had sex with a non-regular partner, of those who have had sex with such a partner in the last 12 months.",xmSRBHkrVIQ,GC7/H-KRCS/HIV O-10/COMMENT/OUTCOME,GC7/H-KRCS/HIV O-10/COMMENT/OUTCOME,"% of high risk AGYW (15-24) who say they used a condom the last time they had sex with a non-regular partner, of those who have had sex with such a partner in the last 12 months.",LONG_TEXT,AGGREGATE,LONG_TEXT,,,bjDvmb4bfuf,Programmes PR,GC7,No
"[GC7/H-KRCS/HIV O-10/RESULT/OUTCOME] % of high risk AGYW (15-24) who say they used a condom the last time they had sex with a non-regular partner, of those who have had sex with such a partner in the last 12 months.",Dlhl9uhmbzk,GC7/H-KRCS/HIV O-10/RESULT/OUTCOME,GC7/H-KRCS/HIV O-10/RESULT/OUTCOME,"% of high risk AGYW (15-24) who say they used a condom the last time they had sex with a non-regular partner, of those who have had sex with such a partner in the last 12 months.",NUMBER,AGGREGATE,PERCENTAGE,,,bjDvmb4bfuf,Programmes PR,GC7,No
"[GC7/H-KRCS/HIV O-10/TARGET/OUTCOME] % of high risk AGYW (15-24) who say they used a condom the last time they had sex with a non-regular partner, of those who have had sex with such a partner in the last 12 months.",Qi8iqiQ9jYC,GC7/H-KRCS/HIV O-10/TARGET/OUTCOME,GC7/H-KRCS/HIV O-10/TARGET/OUTCOME,"% of high risk AGYW (15-24) who say they used a condom the last time they had sex with a non-regular partner, of those who have had sex with such a partner in the last 12 months.",NUMBER,AGGREGATE,PERCENTAGE,,,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HIV O-16a/COMMENT/OUTCOME] % of men who have sex with men who avoid health care because of stigma and discrimination,H52SVtyNeBT,GC7/H-KRCS/HIV O-16a/COMMENT/OUTCOME,GC7/H-KRCS/HIV O-16a/COMMENT/OUTCOME,% of men who have sex with men who avoid health care because of stigma and discrimination,LONG_TEXT,AGGREGATE,LONG_TEXT,,Inverse,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HIV O-16a/RESULT/OUTCOME] % of men who have sex with men who avoid health care because of stigma and discrimination,CB9DBJCpZj8,GC7/H-KRCS/HIV O-16a/RESULT/OUTCOME,GC7/H-KRCS/HIV O-16a/RESULT/OUTCOME,% of men who have sex with men who avoid health care because of stigma and discrimination,NUMBER,AGGREGATE,PERCENTAGE,,Inverse,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HIV O-16a/TARGET/OUTCOME] % of men who have sex with men who avoid health care because of stigma and discrimination,qnxX3q8y8PB,GC7/H-KRCS/HIV O-16a/TARGET/OUTCOME,GC7/H-KRCS/HIV O-16a/TARGET/OUTCOME,% of men who have sex with men who avoid health care because of stigma and discrimination,NUMBER,AGGREGATE,PERCENTAGE,,Inverse,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HIV O-16c/COMMENT/OUTCOME] % of sex workers who avoid health care because of stigma and discrimination,dJwScqKA9qn,GC7/H-KRCS/HIV O-16c/COMMENT/OUTCOME,GC7/H-KRCS/HIV O-16c/COMMENT/OUTCOME,% of sex workers who avoid health care because of stigma and discrimination,LONG_TEXT,AGGREGATE,LONG_TEXT,,Inverse,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HIV O-16c/RESULT/OUTCOME] % of sex workers who avoid health care because of stigma and discrimination,CH0NaaedrzY,GC7/H-KRCS/HIV O-16c/RESULT/OUTCOME,GC7/H-KRCS/HIV O-16c/RESULT/OUTCOME,% of sex workers who avoid health care because of stigma and discrimination,NUMBER,AGGREGATE,PERCENTAGE,,Inverse,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HIV O-16c/TARGET/OUTCOME] % of sex workers who avoid health care because of stigma and discrimination,QhclDuIGEAi,GC7/H-KRCS/HIV O-16c/TARGET/OUTCOME,GC7/H-KRCS/HIV O-16c/TARGET/OUTCOME,% of sex workers who avoid health care because of stigma and discrimination,NUMBER,AGGREGATE,PERCENTAGE,,Inverse,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HIV O-25/COMMENT/OUTCOME] Percentage of law enforcement officers who report negative attitudes towards key populations,aAXhCN22euf,GC7/H-KRCS/HIV O-25/COMMENT/OUTCOME,GC7/H-KRCS/HIV O-25/COMMENT/OUTCOME,Percentage of law enforcement officers who report negative attitudes towards key populations,LONG_TEXT,AGGREGATE,LONG_TEXT,,Inverse,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HIV O-25/RESULT/OUTCOME] Percentage of law enforcement officers who report negative attitudes towards key populations,rHSMkJswsah,GC7/H-KRCS/HIV O-25/RESULT/OUTCOME,GC7/H-KRCS/HIV O-25/RESULT/OUTCOME,Percentage of law enforcement officers who report negative attitudes towards key populations,NUMBER,AGGREGATE,PERCENTAGE,,Inverse,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HIV O-25/TARGET/OUTCOME] Percentage of law enforcement officers who report negative attitudes towards key populations,F8NhKhwDcHG,GC7/H-KRCS/HIV O-25/TARGET/OUTCOME,GC7/H-KRCS/HIV O-25/TARGET/OUTCOME,Percentage of law enforcement officers who report negative attitudes towards key populations,NUMBER,AGGREGATE,PERCENTAGE,,Inverse,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HIV O-26/COMMENT/OUTCOME] % of people living with HIV who report having experienced stigma and discrimination in the general community in the last 12 months.,aU9MOwO06iv,GC7/H-KRCS/HIV O-26/COMMENT/OUTCOME,GC7/H-KRCS/HIV O-26/COMMENT/OUTCOME,% of people living with HIV who report having experienced stigma and discrimination in the general community in the last 12 months.,LONG_TEXT,AGGREGATE,LONG_TEXT,,Inverse,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HIV O-26/RESULT/OUTCOME] % of people living with HIV who report having experienced stigma and discrimination in the general community in the last 12 months.,gxgheNfr5F3,GC7/H-KRCS/HIV O-26/RESULT/OUTCOME,GC7/H-KRCS/HIV O-26/RESULT/OUTCOME,% of people living with HIV who report having experienced stigma and discrimination in the general community in the last 12 months.,NUMBER,AGGREGATE,PERCENTAGE,,Inverse,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HIV O-26/TARGET/OUTCOME] % of people living with HIV who report having experienced stigma and discrimination in the general community in the last 12 months.,dmG7pLXYpFx,GC7/H-KRCS/HIV O-26/TARGET/OUTCOME,GC7/H-KRCS/HIV O-26/TARGET/OUTCOME,% of people living with HIV who report having experienced stigma and discrimination in the general community in the last 12 months.,NUMBER,AGGREGATE,PERCENTAGE,,Inverse,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HIV O-28c/COMMENT/OUTCOME] Percentage of sex workers who report having experienced stigma and discrimination in the last 6 months,GlzXCBzogiE,GC7/H-KRCS/HIV O-28c/COMMENT/OUTCOME,GC7/H-KRCS/HIV O-28c/COMMENT/OUTCOME,Percentage of sex workers who report having experienced stigma and discrimination in the last 6 months,LONG_TEXT,AGGREGATE,LONG_TEXT,,Inverse,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HIV O-28c/RESULT/OUTCOME] Percentage of sex workers who report having experienced stigma and discrimination in the last 6 months,ZeWxyGoA6J1,GC7/H-KRCS/HIV O-28c/RESULT/OUTCOME,GC7/H-KRCS/HIV O-28c/RESULT/OUTCOME,Percentage of sex workers who report having experienced stigma and discrimination in the last 6 months,NUMBER,AGGREGATE,PERCENTAGE,,Inverse,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HIV O-28c/TARGET/OUTCOME] Percentage of sex workers who report having experienced stigma and discrimination in the last 6 months,Dyw3bMhLzn2,GC7/H-KRCS/HIV O-28c/TARGET/OUTCOME,GC7/H-KRCS/HIV O-28c/TARGET/OUTCOME,Percentage of sex workers who report having experienced stigma and discrimination in the last 6 months,NUMBER,AGGREGATE,PERCENTAGE,,Inverse,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HIV O-28d/COMMENT/OUTCOME] % of people who inject drugs who report having experienced stigma and discrimination in the last 6 months,nYgh57yuGCP,GC7/H-KRCS/HIV O-28d/COMMENT/OUTCOME,GC7/H-KRCS/HIV O-28d/COMMENT/OUTCOME,% of people who inject drugs who report having experienced stigma and discrimination in the last 6 months,LONG_TEXT,AGGREGATE,LONG_TEXT,,Inverse,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HIV O-28d/RESULT/OUTCOME] % of people who inject drugs who report having experienced stigma and discrimination in the last 6 months,mWYmNUY99jy,GC7/H-KRCS/HIV O-28d/RESULT/OUTCOME,GC7/H-KRCS/HIV O-28d/RESULT/OUTCOME,% of people who inject drugs who report having experienced stigma and discrimination in the last 6 months,NUMBER,AGGREGATE,PERCENTAGE,,Inverse,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HIV O-28d/TARGET/OUTCOME] % of people who inject drugs who report having experienced stigma and discrimination in the last 6 months,RdAEXoHeNKb,GC7/H-KRCS/HIV O-28d/TARGET/OUTCOME,GC7/H-KRCS/HIV O-28d/TARGET/OUTCOME,% of people who inject drugs who report having experienced stigma and discrimination in the last 6 months,NUMBER,AGGREGATE,PERCENTAGE,,Inverse,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HIV O-4.1b/COMMENT/OUTCOME] Percentage of transgender people reporting using a condom during their most recent sexual intercourse or anal sex,BhaqeLMrLlp,GC7/H-KRCS/HIV O-4.1b/COMMENT/OUTCOME,GC7/H-KRCS/HIV O-4.1b/COMMENT/OUTCOME,Percentage of transgender people reporting using a condom during their most recent sexual intercourse or anal sex,LONG_TEXT,AGGREGATE,LONG_TEXT,,,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HIV O-4.1b/RESULT/OUTCOME] Percentage of transgender people reporting using a condom during their most recent sexual intercourse or anal sex,OHfQ6c5QMmy,GC7/H-KRCS/HIV O-4.1b/RESULT/OUTCOME,GC7/H-KRCS/HIV O-4.1b/RESULT/OUTCOME,Percentage of transgender people reporting using a condom during their most recent sexual intercourse or anal sex,NUMBER,AGGREGATE,PERCENTAGE,,,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HIV O-4.1b/TARGET/OUTCOME] Percentage of transgender people reporting using a condom during their most recent sexual intercourse or anal sex,WPNxH8BjA4q,GC7/H-KRCS/HIV O-4.1b/TARGET/OUTCOME,GC7/H-KRCS/HIV O-4.1b/TARGET/OUTCOME,Percentage of transgender people reporting using a condom during their most recent sexual intercourse or anal sex,NUMBER,AGGREGATE,PERCENTAGE,,,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HIV O-4a/COMMENT/OUTCOME] % of men reporting using a condom the last time they had anal sex with a male partner,WO63HpNGWgX,GC7/H-KRCS/HIV O-4a/COMMENT/OUTCOME,GC7/H-KRCS/HIV O-4a/COMMENT/OUTCOME,% of men reporting using a condom the last time they had anal sex with a male partner,LONG_TEXT,AGGREGATE,LONG_TEXT,,,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HIV O-4a/RESULT/OUTCOME] % of men reporting using a condom the last time they had anal sex with a male partner,qO7m9jwFFFW,GC7/H-KRCS/HIV O-4a/RESULT/OUTCOME,GC7/H-KRCS/HIV O-4a/RESULT/OUTCOME,% of men reporting using a condom the last time they had anal sex with a male partner,NUMBER,AGGREGATE,PERCENTAGE,,,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HIV O-4a/TARGET/OUTCOME] % of men reporting using a condom the last time they had anal sex with a male partner,Bnurhnf7jQh,GC7/H-KRCS/HIV O-4a/TARGET/OUTCOME,GC7/H-KRCS/HIV O-4a/TARGET/OUTCOME,% of men reporting using a condom the last time they had anal sex with a male partner,NUMBER,AGGREGATE,PERCENTAGE,,,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HIV O-5/COMMENT/OUTCOME] % of sex workers reporting using a condom with their most recent client,nArr4xbTPxP,GC7/H-KRCS/HIV O-5/COMMENT/OUTCOME,GC7/H-KRCS/HIV O-5/COMMENT/OUTCOME,% of sex workers reporting using a condom with their most recent client,LONG_TEXT,AGGREGATE,LONG_TEXT,,,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HIV O-5/RESULT/OUTCOME] % of sex workers reporting using a condom with their most recent client,GCLH1jdB1of,GC7/H-KRCS/HIV O-5/RESULT/OUTCOME,GC7/H-KRCS/HIV O-5/RESULT/OUTCOME,% of sex workers reporting using a condom with their most recent client,NUMBER,AGGREGATE,PERCENTAGE,,,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HIV O-5/TARGET/OUTCOME] % of sex workers reporting using a condom with their most recent client,h5jm6EuuSie,GC7/H-KRCS/HIV O-5/TARGET/OUTCOME,GC7/H-KRCS/HIV O-5/TARGET/OUTCOME,% of sex workers reporting using a condom with their most recent client,NUMBER,AGGREGATE,PERCENTAGE,,,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HIV O-6/COMMENT/OUTCOME] Percentage of people who inject drugs reporting using sterile injecting equipment the last time they injected,jAsPpcpSq1F,GC7/H-KRCS/HIV O-6/COMMENT/OUTCOME,GC7/H-KRCS/HIV O-6/COMMENT/OUTCOME,Percentage of people who inject drugs reporting using sterile injecting equipment the last time they injected,LONG_TEXT,AGGREGATE,LONG_TEXT,,,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HIV O-6/RESULT/OUTCOME] Percentage of people who inject drugs reporting using sterile injecting equipment the last time they injected,jhw0Ve3DYnS,GC7/H-KRCS/HIV O-6/RESULT/OUTCOME,GC7/H-KRCS/HIV O-6/RESULT/OUTCOME,Percentage of people who inject drugs reporting using sterile injecting equipment the last time they injected,NUMBER,AGGREGATE,PERCENTAGE,,,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HIV O-6/TARGET/OUTCOME] Percentage of people who inject drugs reporting using sterile injecting equipment the last time they injected,nOXfGTqBZLy,GC7/H-KRCS/HIV O-6/TARGET/OUTCOME,GC7/H-KRCS/HIV O-6/TARGET/OUTCOME,Percentage of people who inject drugs reporting using sterile injecting equipment the last time they injected,NUMBER,AGGREGATE,PERCENTAGE,,,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HTS-2/COMMENT/COVERAGE] % of high risk AGYW that have received an HIV test during the reporting period in AGYW programs,t6A9lBDfceo,GC7/H-KRCS/HTS-2/COMMENT/COVERAGE,GC7/H-KRCS/HTS-2/COMMENT/COVERAGE,% of high risk AGYW that have received an HIV test during the reporting period in AGYW programs,LONG_TEXT,AGGREGATE,LONG_TEXT,,,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HTS-2/RESULT/COVERAGE] % of high risk AGYW that have received an HIV test during the reporting period in AGYW programs,HtZHkowHuub,GC7/H-KRCS/HTS-2/RESULT/COVERAGE,GC7/H-KRCS/HTS-2/RESULT/COVERAGE,% of high risk AGYW that have received an HIV test during the reporting period in AGYW programs,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HTS-2/TARGET/COVERAGE] % of high risk AGYW that have received an HIV test during the reporting period in AGYW programs,G3zciiC4C1b,GC7/H-KRCS/HTS-2/TARGET/COVERAGE,GC7/H-KRCS/HTS-2/TARGET/COVERAGE,% of high risk AGYW that have received an HIV test during the reporting period in AGYW programs,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HTS-3a/COMMENT/COVERAGE] % of MSM that have received an HIV test during the reporting period in KP-specific programs and know their results,NYSeHOxc1QJ,GC7/H-KRCS/HTS-3a/COMMENT/COVERAGE,GC7/H-KRCS/HTS-3a/COMMENT/COVERAGE,% of MSM that have received an HIV test during the reporting period in KP-specific programs and know their results,LONG_TEXT,AGGREGATE,LONG_TEXT,,,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HTS-3a/RESULT/COVERAGE] % of MSM that have received an HIV test during the reporting period in KP-specific programs and know their results,TLJPawfejXu,GC7/H-KRCS/HTS-3a/RESULT/COVERAGE,GC7/H-KRCS/HTS-3a/RESULT/COVERAGE,% of MSM that have received an HIV test during the reporting period in KP-specific programs and know their results,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HTS-3a/TARGET/COVERAGE] % of MSM that have received an HIV test during the reporting period in KP-specific programs and know their results,zP2oyxbzEFl,GC7/H-KRCS/HTS-3a/TARGET/COVERAGE,GC7/H-KRCS/HTS-3a/TARGET/COVERAGE,% of MSM that have received an HIV test during the reporting period in KP-specific programs and know their results,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HTS-3b/COMMENT/COVERAGE] % of TG that have received an HIV test during the reporting period in KP-specific programs and know their results,GgkzO6K64FF,GC7/H-KRCS/HTS-3b/COMMENT/COVERAGE,GC7/H-KRCS/HTS-3b/COMMENT/COVERAGE,% of TG that have received an HIV test during the reporting period in KP-specific programs and know their results,LONG_TEXT,AGGREGATE,LONG_TEXT,,,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HTS-3b/RESULT/COVERAGE] % of TG that have received an HIV test during the reporting period in KP-specific programs and know their results,MN4t5w2HKtD,GC7/H-KRCS/HTS-3b/RESULT/COVERAGE,GC7/H-KRCS/HTS-3b/RESULT/COVERAGE,% of TG that have received an HIV test during the reporting period in KP-specific programs and know their results,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HTS-3b/TARGET/COVERAGE] % of TG that have received an HIV test during the reporting period in KP-specific programs and know their results,sX2007imFQs,GC7/H-KRCS/HTS-3b/TARGET/COVERAGE,GC7/H-KRCS/HTS-3b/TARGET/COVERAGE,% of TG that have received an HIV test during the reporting period in KP-specific programs and know their results,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HTS-3c/COMMENT/COVERAGE] % of sex workers that have received an HIV test during the reporting period in KP-specific programs and know their results,iscE0FENMMT,GC7/H-KRCS/HTS-3c/COMMENT/COVERAGE,GC7/H-KRCS/HTS-3c/COMMENT/COVERAGE,% of sex workers that have received an HIV test during the reporting period in KP-specific programs and know their results,LONG_TEXT,AGGREGATE,LONG_TEXT,,,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HTS-3c/RESULT/COVERAGE] % of sex workers that have received an HIV test during the reporting period in KP-specific programs and know their results,mZWSnxjlcLh,GC7/H-KRCS/HTS-3c/RESULT/COVERAGE,GC7/H-KRCS/HTS-3c/RESULT/COVERAGE,% of sex workers that have received an HIV test during the reporting period in KP-specific programs and know their results,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HTS-3c/TARGET/COVERAGE] % of sex workers that have received an HIV test during the reporting period in KP-specific programs and know their results,xcOzyGlmaof,GC7/H-KRCS/HTS-3c/TARGET/COVERAGE,GC7/H-KRCS/HTS-3c/TARGET/COVERAGE,% of sex workers that have received an HIV test during the reporting period in KP-specific programs and know their results,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HTS-3d/COMMENT/COVERAGE] % of people who inject drugs that have received an HIV test during the reporting period in KP-specific programs and know their results,uEXtDMxNvuy,GC7/H-KRCS/HTS-3d/COMMENT/COVERAGE,GC7/H-KRCS/HTS-3d/COMMENT/COVERAGE,% of people who inject drugs that have received an HIV test during the reporting period in KP-specific programs and know their results,LONG_TEXT,AGGREGATE,LONG_TEXT,,,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HTS-3d/RESULT/COVERAGE] % of people who inject drugs that have received an HIV test during the reporting period in KP-specific programs and know their results,zJiQOrahaSV,GC7/H-KRCS/HTS-3d/RESULT/COVERAGE,GC7/H-KRCS/HTS-3d/RESULT/COVERAGE,% of people who inject drugs that have received an HIV test during the reporting period in KP-specific programs and know their results,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HTS-3d/TARGET/COVERAGE] % of people who inject drugs that have received an HIV test during the reporting period in KP-specific programs and know their results,gcgbaONAUG1,GC7/H-KRCS/HTS-3d/TARGET/COVERAGE,GC7/H-KRCS/HTS-3d/TARGET/COVERAGE,% of people who inject drugs that have received an HIV test during the reporting period in KP-specific programs and know their results,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HTS-3e/COMMENT/COVERAGE] Percentage of other vulnerable populations that have received an HIV test during the reporting period and know their results,VsIKlSy0eP6,GC7/H-KRCS/HTS-3e/COMMENT/COVERAGE,GC7/H-KRCS/HTS-3e/COMMENT/COVERAGE,Percentage of other vulnerable populations that have received an HIV test during the reporting period and know their results,LONG_TEXT,AGGREGATE,LONG_TEXT,,,bjDvmb4bfuf,Programmes PR,GC7,No
